ID;Beverage_category;Beverage;Beverage_prep;Calories;Total Fat (g);Total Carbohydrates (g);Sugars (g);Protein (g);Caffeine (mg)
4;Classic Espresso Drinks;Caffè Latte;Short Nonfat Milk;70;0.1;75;9;6;75
5;Classic Espresso Drinks;Caffè Latte;2% Milk;100;3.5;85;9;6;75
6;Classic Espresso Drinks;Caffè Latte;Soymilk;70;2.5;65;4;5;75
7;Classic Espresso Drinks;Caffè Latte;Tall Nonfat Milk;100;0.2;120;14;10;75
8;Classic Espresso Drinks;Caffè Latte;2% Milk;150;6;135;14;10;75
9;Classic Espresso Drinks;Caffè Latte;Soymilk;110;4.5;105;6;8;75
10;Classic Espresso Drinks;Caffè Latte;Grande Nonfat Milk;130;0.3;150;18;13;150
11;Classic Espresso Drinks;Caffè Latte;2% Milk;1900;7;170;17;12;
12;Classic Espresso Drinks;Caffè Latte;Soymilk;150;5;130;8;10;150
13;Classic Espresso Drinks;Caffè Latte;Venti Nonfat Milk;170;0.4;190;23;16;150
14;Classic Espresso Drinks;Caffè Latte;2% Milk;240;9;220;22;16;150
15;Classic Espresso Drinks;Caffè Latte;Soymilk;190;7;170;11;13;150
16;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);Short Nonfat Milk;;;;;;
17;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);2% Milk;;;;;;
18;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);Soymilk;;;;;;
19;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);Tall Nonfat Milk;;;;;;
20;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);2% Milk;;;;;;
21;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);Soymilk;;;;;;
22;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);Grande Nonfat Milk;;;;;;
23;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);2% Milk;;;;;;
24;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);Soymilk;;;;;;
25;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);Venti Nonfat Milk;;;;;;
26;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);2% Milk;;;;;;
27;Classic Espresso Drinks;Caffè Mocha (Without Whipped Cream);Soymilk;;;;;;
28;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);Short Nonfat Milk;100;0.1;70;18;6;75
29;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);2% Milk;130;3.5;80;17;6;75
30;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);Soymilk;110;2.5;60;13;5;75
31;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);Tall Nonfat Milk;150;0.2;110;27;9;75
32;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);2% Milk;200;5;125;27;9;75
33;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);Soymilk;160;4;95;20;7;75
34;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);Grande Nonfat Milk;200;0.3;140;35;12;150
35;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);2% Milk;250;6;150;35;12;150
36;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);Soymilk;210;5;120;26;9;150
37;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);Venti Nonfat Milk;250;0.3;180;450;15;150
38;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);2% Milk;320;9;200;44;15;150
39;Classic Espresso Drinks;Vanilla Latte (Or Other Flavoured Latte);Soymilk;270;7;160;33;12;150
44;Classic Espresso Drinks;Cappuccino;Short Nonfat Milk;50;0.1;60;7;5;
45;Classic Espresso Drinks;Cappuccino;2% Milk;80;3;70;7;5;75
46;Classic Espresso Drinks;Cappuccino;Soymilk;50;1.5;40;3;3;75
47;Classic Espresso Drinks;Cappuccino;Tall Nonfat Milk;60;0.1;70;8;6;75
48;Classic Espresso Drinks;Cappuccino;2% Milk;90;3.5;80;8;6;75
49;Classic Espresso Drinks;Cappuccino;Soymilk;70;3;65;4;5;75
50;Classic Espresso Drinks;Cappuccino;Grande Nonfat Milk;80;;;;;
51;Classic Espresso Drinks;Cappuccino;2% Milk;120;4;100;10;8;150
52;Classic Espresso Drinks;Cappuccino;Soymilk;100;3.5;80;5;70;150
53;Classic Espresso Drinks;Cappuccino;Venti Nonfat Milk;110;0.2;120;14;10;150
54;Classic Espresso Drinks;Cappuccino;2% Milk;150;6;135;14;10;150
55;Classic Espresso Drinks;Cappuccino;Soymilk;120;4.5;110;7;9;150
58;Classic Espresso Drinks;Skinny Latte (Any Flavour);Short Nonfat Milk;60;0.1;80;8;6;75
59;Classic Espresso Drinks;Skinny Latte (Any Flavour);Tall Nonfat Milk;100;0.2;125;13;90;75
60;Classic Espresso Drinks;Skinny Latte (Any Flavour);Grande Nonfat Milk;120;0.3;160;16;12;150
61;Classic Espresso Drinks;Skinny Latte (Any Flavour);Venti Nonfat Milk;160;0.3;200;21;15;150